city,country,date,lat,lng,temp,max temp,humidity,cloudiness,wind_speed_mph
wanaka,NZ,1620174822,-44.7,169.15,60.19,60.19,64,25,7.56
pevek,RU,1620175098,69.7008,170.3133,30.7,30.7,68,100,15.61
new norfolk,AU,1620174896,-42.7826,147.0587,55.56,61.0,78,45,3.0
korcula,HR,1620175099,42.9622,17.1369,57.09,57.2,67,0,2.3
kapaa,US,1620174806,22.0752,-159.319,78.39,80.6,69,1,14.97
czluchow,PL,1620175100,53.6672,17.3588,46.0,46.0,81,40,5.99
luderitz,NA,1620175101,-26.6481,15.1594,62.29,62.29,81,8,11.77
victoria,HK,1620175023,22.2855,114.1577,77.31,80.01,80,100,1.01
merauke,ID,1620175102,-8.4667,140.3333,84.22,84.22,69,35,13.51
georgetown,MY,1620175103,5.4112,100.3354,78.78,80.01,94,20,5.01
koboko,UG,1620175103,3.4136,30.9599,62.24,62.24,93,32,4.32
tambovka,RU,1620175104,50.0969,128.0489,44.6,44.6,93,40,8.95
itarema,BR,1620175105,-2.9248,-39.9167,75.99,75.99,88,100,2.39
midland,US,1620174818,31.9974,-102.0779,69.85,72.0,40,1,5.79
mareeba,AU,1620175106,-17.0,145.4333,79.79,84.0,69,0,5.75
narsaq,GL,1620175106,60.9167,-46.05,46.4,46.4,27,75,33.38
cidreira,BR,1620175107,-30.1811,-50.2056,66.2,66.2,91,100,13.29
dikson,RU,1620175108,73.5069,80.5464,21.22,21.22,96,97,8.86
nueva concepcion,GT,1620175108,14.2,-91.3,76.23,84.2,94,90,6.91
vaini,TO,1620175109,-21.2,-175.2,78.8,78.8,78,90,12.66
gonen,TR,1620175110,40.1049,27.654,56.44,57.2,82,0,9.22
praia da vitoria,PT,1620175110,38.7333,-27.0667,64.83,66.2,77,75,4.92
prince rupert,CA,1620175111,54.3161,-130.3201,48.88,50.0,76,90,4.61
akureyri,IS,1620175111,65.6835,-18.0878,30.2,30.2,74,0,2.3
port elizabeth,ZA,1620175112,-33.918,25.5701,66.2,66.2,88,0,8.05
bandarbeyla,SO,1620175113,9.4942,50.8122,83.07,83.07,71,93,2.46
mahebourg,MU,1620175113,-20.4081,57.7,75.2,75.2,94,40,4.61
saint-philippe,RE,1620175114,-21.3585,55.7679,71.26,75.2,94,90,5.75
finschhafen,PG,1620175115,-6.6024,147.8681,85.17,85.17,69,100,9.93
bharatpur,IN,1620175115,27.2167,77.4833,87.48,87.48,23,6,4.41
shangrao,CN,1620175116,28.4532,117.9686,71.29,71.29,69,4,10.6
tuktoyaktuk,CA,1620175117,69.4541,-133.0374,21.2,21.2,86,90,5.75
arona,ES,1620175117,28.0996,-16.681,61.92,66.2,55,75,6.91
kaitangata,NZ,1620175118,-46.2817,169.8464,57.16,57.16,61,9,6.73
ensenada,MX,1620175119,31.8667,-116.6167,68.0,68.0,76,98,1.01
wyndham,US,1620175119,37.6985,-77.6125,69.08,71.01,94,1,6.26
torbay,CA,1620175120,47.6666,-52.7314,42.24,42.8,65,75,10.36
linxia,CN,1620175121,35.6003,103.2064,49.84,49.84,45,3,1.54
bilibino,RU,1620175121,68.0546,166.4372,23.22,23.22,70,6,3.24
klaksvik,FO,1620175122,62.2266,-6.589,33.8,33.8,93,75,23.02
bam,IR,1620175122,29.106,58.357,68.2,68.2,46,0,3.02
aksarka,RU,1620175123,66.5606,67.7975,19.54,19.54,94,100,7.09
vestmannaeyjar,IS,1620174991,63.4427,-20.2734,38.8,38.8,61,9,2.71
playa vicente,MX,1620175114,17.8333,-95.8167,88.61,88.61,48,100,10.2
saint-leu,RE,1620175125,-21.15,55.2833,71.6,75.2,94,90,5.75
bagdarin,RU,1620174995,54.4333,113.6,43.36,43.36,40,0,5.84
emba,KZ,1620175126,48.8264,58.1442,55.94,55.94,37,3,0.47
saint-pierre,RE,1620175126,-21.3393,55.4781,70.88,75.2,94,90,5.75
sakakah,SA,1620175127,29.9697,40.2064,80.6,80.6,14,0,13.8
kemin,KG,1620175128,42.7846,75.6892,62.55,62.55,48,5,8.72
hasaki,JP,1620175128,35.7333,140.8333,69.62,70.0,60,75,18.41
east london,ZA,1620175129,-33.0153,27.9116,65.97,65.97,59,9,3.06
yellowknife,CA,1620175129,62.456,-114.3525,41.0,41.0,30,20,10.36
ust-omchug,RU,1620175130,61.15,149.6333,35.08,35.08,78,57,3.22
saint george,US,1620175029,37.1041,-113.5841,83.21,84.0,11,1,9.22
port blair,IN,1620175131,11.6667,92.75,78.8,78.8,89,40,3.0
obo,CF,1620175132,5.3998,26.4869,67.91,67.91,96,100,0.58
am timan,TD,1620175132,11.0297,20.2827,85.32,85.32,43,100,8.61
ostrovnoy,RU,1620175133,68.0531,39.5131,28.09,28.09,85,96,11.86
jumla,NP,1620175134,29.2747,82.1838,52.59,52.59,85,66,1.07
tshane,BW,1620175134,-24.0196,21.8684,57.09,57.09,42,0,6.98
troitsko-pechorsk,RU,1620175135,62.7084,56.1964,38.32,38.32,99,100,1.97
neuquen,AR,1620175135,-38.9516,-68.0591,46.4,46.4,71,0,7.54
pangnirtung,CA,1620175136,66.1451,-65.7125,21.43,21.43,91,23,4.43
kanniyakumari,IN,1620175137,8.0833,77.5667,82.4,82.4,76,100,4.16
cherskiy,RU,1620175137,68.75,161.3,31.24,31.24,72,7,11.81
luchegorsk,RU,1620175138,46.4764,134.2569,43.66,43.66,94,100,8.57
devils lake,US,1620175139,48.1128,-98.8651,51.39,51.8,28,1,8.05
winchester,GB,1620175139,51.0651,-1.3187,41.0,41.0,75,20,11.5
yugorsk,RU,1620175140,61.3133,63.3319,40.32,40.32,99,100,4.34
chuy,UY,1620175140,-33.6971,-53.4616,57.99,57.99,58,100,10.31
ewo,CG,1620175141,-0.8725,14.8206,73.36,73.36,91,100,6.33
pedernales,DO,1620175142,18.0384,-71.744,79.34,79.34,72,56,6.24
shenjiamen,CN,1620175143,29.9576,122.298,63.16,63.16,69,10,8.37
airai,TL,1620174951,-8.9266,125.4092,66.92,66.92,76,98,4.27
semnan,IR,1620175144,35.5729,53.3971,61.09,61.09,74,54,2.04
sirnak,TR,1620174882,37.5228,42.4594,66.2,66.2,59,40,8.05
jinchang,CN,1620175145,38.4953,102.1739,57.31,57.31,8,95,7.47
qaanaaq,GL,1620175146,77.484,-69.3632,24.08,24.08,70,100,6.06
clyde river,CA,1620175146,70.4692,-68.5914,26.6,26.6,86,1,17.27
tiznit,MA,1620175147,29.5833,-9.5,58.12,58.12,92,100,8.32
zaltan,LY,1620175148,32.947,11.8665,70.38,70.38,61,100,8.1
stornoway,GB,1620175148,58.2093,-6.3865,37.24,37.4,81,20,9.22
ushtobe,KZ,1620175149,45.2514,77.9838,57.42,57.42,39,7,12.35
gigmoto,PH,1620175150,13.7796,124.39,82.96,82.96,81,18,10.22
avarua,CK,1620175150,-21.2078,-159.775,80.6,80.6,69,75,10.36
komsomolskiy,UZ,1620175151,40.4272,71.7189,71.6,71.6,43,100,1.59
makakilo city,US,1620175152,21.3469,-158.0858,80.62,84.2,83,90,10.36
coquimbo,CL,1620175153,-29.9533,-71.3436,62.6,62.6,72,0,2.3
ranong,TH,1620175153,9.9658,98.6348,77.0,77.0,100,40,4.61
plouzane,FR,1620175154,48.3833,-4.6167,43.97,46.4,75,75,6.91
carnarvon,AU,1620175155,-24.8667,113.6333,64.4,64.4,100,75,8.05
beloha,MG,1620175156,-25.1667,45.05,64.45,64.45,80,1,7.23
san ramon de la nueva oran,AR,1620175156,-23.1322,-64.326,57.0,57.0,92,100,1.99
palauig,PH,1620175157,15.435,119.9045,88.12,88.12,57,75,3.13
cabo san lucas,MX,1620175158,22.8909,-109.9124,78.01,81.0,43,1,10.36
vao,NC,1620175159,-22.6667,167.4833,73.85,73.85,78,34,13.22
mingrelskaya,RU,1620175159,45.0134,38.3379,42.96,45.0,77,0,2.55
rundu,NA,1620175160,-17.9333,19.7667,61.9,61.9,54,10,6.35
tommot,RU,1620175160,58.9564,126.2925,40.55,40.55,94,100,4.79
aripuana,BR,1620175161,-9.1667,-60.6333,74.77,74.77,94,86,1.23
maturin,VE,1620175162,9.75,-63.1767,73.92,73.92,94,100,5.55
antofagasta,CL,1620175162,-23.65,-70.4,60.8,60.8,82,20,8.05
oneonta,US,1620175163,42.4529,-75.0638,62.38,63.0,82,100,6.64
taltal,CL,1620175163,-25.4,-70.4833,63.23,63.23,74,0,6.93
asau,RO,1620174927,46.4333,26.4,43.0,43.0,47,8,5.5
pizarro,CO,1620175165,4.9533,-77.366,77.41,77.41,87,100,7.23
leh,IN,1620175165,34.1667,77.5833,41.88,41.88,82,100,2.64
chapais,CA,1620175166,49.7834,-74.8492,48.2,48.2,46,90,6.91
misratah,LY,1620175166,32.3754,15.0925,66.45,66.45,72,100,8.97
port-cartier,CA,1620174945,50.0334,-66.8654,44.38,44.6,57,75,3.44
touros,BR,1620175167,-5.1989,-35.4608,75.2,75.2,94,0,2.3
loukhi,RU,1620175168,66.0764,33.0381,29.01,29.01,96,100,6.4
sovetskiy,RU,1620175169,61.3614,63.5842,40.39,40.39,99,100,4.23
alta floresta,BR,1620175169,-9.8756,-56.0861,72.84,72.84,79,7,3.09
dongsheng,CN,1620175170,39.8161,109.9776,54.43,54.43,14,0,21.07
ifo,NG,1620175171,6.8144,3.1958,80.6,80.6,89,20,3.29
iqaluit,CA,1620175171,63.7506,-68.5145,32.0,32.0,86,75,2.3
svetlogorsk,BY,1620175172,52.6333,29.7333,41.85,41.85,71,100,11.54
samaipata,BO,1620175173,-18.15,-63.8667,56.8,56.8,94,100,1.43
high level,CA,1620175173,58.5169,-117.136,59.0,59.0,29,40,3.44
tairua,NZ,1620175174,-37.0167,175.85,66.0,66.0,65,16,3.0
los llanos de aridane,ES,1620175174,28.6585,-17.9182,60.66,68.0,56,75,16.11
gat,IL,1620175175,31.61,34.7642,71.37,75.0,27,100,5.01
albacete,ES,1620175176,38.8333,-2.0,44.6,44.6,81,0,3.44
springfield,US,1620175036,37.2153,-93.2982,50.81,51.01,87,80,1.01
vila velha,BR,1620175177,-20.3297,-40.2925,71.6,71.6,94,40,3.44
coihaique,CL,1620175179,-45.5752,-72.0662,33.8,33.8,93,0,3.44
ponta delgada,PT,1620175004,37.7333,-25.6667,59.0,59.0,88,20,4.61
faya,SA,1620175180,18.3851,42.4509,61.7,62.6,48,0,3.8
beaufort,MY,1620175180,5.3473,115.7455,86.0,86.0,70,20,11.5
calama,CL,1620175181,-22.4667,-68.9333,57.2,57.2,44,0,9.22
eidfjord,NO,1620175182,60.4675,7.0719,29.16,30.0,80,100,6.42
tecoanapa,MX,1620175183,16.5167,-98.75,81.75,81.75,60,62,6.22
naryan-mar,RU,1620175183,67.6713,53.087,29.39,29.39,77,100,13.31
lebu,CL,1620175184,-37.6167,-73.65,53.67,53.67,78,5,1.59
coahuayana,MX,1620175185,18.7333,-103.6833,80.6,80.6,39,1,11.5
penha,BR,1620175185,-26.7694,-48.6458,71.6,71.6,94,0,2.3
san cristobal,VE,1620175186,7.7669,-72.225,80.6,80.6,74,40,4.61
butaritari,KI,1620175187,3.0707,172.7902,83.91,83.91,76,100,18.01
ruzhyn,UA,1620175187,49.7228,29.2046,42.12,42.12,73,100,10.04
bria,CF,1620175188,6.5423,21.9863,69.12,69.12,94,83,3.09
kavieng,PG,1620175189,-2.5744,150.7967,84.67,84.67,69,8,0.22
koumra,TD,1620174984,8.9126,17.5539,79.41,79.41,61,100,5.61
roma,US,1620175190,43.2128,-75.4557,58.12,59.0,82,75,11.5
fairbanks,US,1620174914,64.8378,-147.7164,56.26,59.0,33,90,5.75
whitehorse,CA,1620175191,60.7161,-135.0538,47.61,48.2,37,75,17.27
erzin,TR,1620175192,36.9559,36.2,66.99,66.99,91,100,0.92
aswan,EG,1620175193,24.0934,32.907,84.36,84.36,16,0,7.52
mata,PT,1620175194,40.683,-7.4592,48.99,48.99,90,100,4.0
bambous virieux,MU,1620175194,-20.3428,57.7575,75.58,75.99,94,40,4.61
souillac,MU,1620175195,-20.5167,57.5167,75.2,75.2,94,40,4.61
mayumba,GA,1620175196,-3.432,10.6554,77.04,77.04,88,100,1.01
skjervoy,NO,1620174967,70.0311,20.9714,30.92,30.92,65,4,13.35
moerai,PF,1620175197,-22.4333,-151.3333,75.87,75.87,75,100,16.93
acari,PE,1620175197,-15.4311,-74.6158,71.01,71.01,76,100,3.18
svetlaya,RU,1620175198,46.5389,138.3297,39.29,39.29,96,100,6.73
vardo,NO,1620175199,70.3705,31.1107,33.66,33.66,73,100,11.7
shibetsu,JP,1620175200,43.659,145.132,51.8,51.8,58,75,14.97
westport,US,1620175201,41.1415,-73.3579,56.41,57.99,82,90,9.22
raga,SS,1620175202,8.4596,25.678,73.58,73.58,77,94,4.59
maragogi,BR,1620175103,-9.0122,-35.2225,75.81,75.81,84,19,2.01
norman wells,CA,1620175203,65.282,-126.8329,42.8,42.8,56,75,8.05
kyra,RU,1620175204,49.5776,111.9753,42.69,42.69,50,100,5.32
sikasso,ML,1620175205,10.9167,-7.0,84.04,84.04,53,93,9.71
pozo colorado,PY,1620175206,-23.4923,-58.7972,78.51,78.51,63,100,2.95
marang,MY,1620175206,5.2056,103.2059,77.0,77.0,100,20,3.44
leningradskiy,RU,1620175207,69.3833,178.4167,26.58,26.58,75,51,6.38
hami,CN,1620175208,42.8,93.45,62.15,62.15,9,0,3.29
mae sot,TH,1620175208,16.7167,98.5667,78.8,78.8,83,20,0.65
armidale,AU,1620175209,-30.5167,151.65,46.0,46.0,95,100,1.01
mount gambier,AU,1620174925,-37.8333,140.7667,59.0,59.0,72,40,8.05
banjar,ID,1620175210,-8.19,114.9675,80.6,80.6,83,20,4.61
ostrow wielkopolski,PL,1620175211,51.655,17.8069,45.72,45.72,84,41,12.15
ketchikan,US,1620175212,55.3422,-131.6461,51.8,51.8,62,20,11.5
nome,US,1620175212,64.5011,-165.4064,35.85,37.0,51,1,4.61
nanortalik,GL,1620175213,60.1432,-45.2371,38.64,38.64,68,100,12.95
oranjemund,NA,1620175214,-28.55,16.4333,59.27,59.27,91,84,2.84
kindu,CD,1620175214,-2.95,25.95,70.21,70.21,99,100,1.68
oliver,CA,1620175096,49.1831,-119.5524,68.07,69.8,19,12,6.91
padang,ID,1620175216,-0.9492,100.3543,75.2,75.2,94,20,3.44
tanda,IN,1620175216,26.55,82.65,79.2,79.2,60,52,14.09
luanda,AO,1620175217,-8.8368,13.2343,78.8,78.8,83,75,3.44
cananeia,BR,1620175218,-25.0147,-47.9267,69.78,69.78,79,5,3.89
margate,GB,1620175218,51.3813,1.3862,42.26,44.01,65,34,5.01
puerto del rosario,ES,1620175219,28.5004,-13.8627,66.2,66.2,55,0,12.66
aksu,CN,1620175220,41.1231,80.2644,63.86,63.86,16,3,3.22
manicore,BR,1620175220,-5.8092,-61.3003,77.0,77.0,94,0,2.3
monster,NL,1620175221,52.0258,4.175,44.82,45.0,81,90,13.8
tucuma,BR,1620175222,-0.1833,-50.05,75.92,75.92,89,100,3.89
severo-kurilsk,RU,1620175222,50.6789,156.125,35.91,35.91,93,39,10.83
zhezkazgan,KZ,1620175223,47.8043,67.7144,58.78,58.78,29,100,12.12
poladpur,IN,1620175224,17.9802,73.466,80.8,80.8,70,0,0.83
la asuncion,VE,1620175225,11.0333,-63.8628,78.8,78.8,89,100,14.97
baoqing,CN,1620175226,46.3317,132.2111,48.02,48.02,78,100,8.75
kenai,US,1620175226,60.5544,-151.2583,46.4,46.4,53,20,12.66
horki,BY,1620175227,54.2861,30.9842,36.0,36.0,92,78,8.66
porto novo,BJ,1620175228,6.4965,2.6036,80.6,80.6,89,40,1.14
camapua,BR,1620175229,-19.5314,-54.0439,71.22,71.22,31,61,5.08
seguela,CI,1620175229,7.9611,-6.6731,73.99,73.99,86,100,5.17
nanakuli,US,1620175230,21.3906,-158.1547,79.83,82.0,83,90,10.36
wangkui,CN,1620175230,46.8333,126.5,57.22,57.22,30,9,12.71
sisimiut,GL,1620175231,66.9395,-53.6735,33.58,33.58,84,6,7.23
mao,ES,1620175232,39.8885,4.2658,53.6,53.6,94,0,5.75
muros,ES,1620175233,42.7762,-9.0603,57.78,59.0,84,62,1.92
paragominas,BR,1620175233,-2.9667,-47.4833,73.15,73.15,96,100,1.3
pouembout,NC,1620175234,-21.1333,164.9,81.28,81.28,63,21,1.21
saint-louis,SN,1620175235,16.3333,-15.0,82.4,82.4,36,21,4.61
marshfield,US,1620175236,44.6689,-90.1718,53.6,53.6,37,75,14.97
podosinovets,RU,1620175236,60.2776,47.0659,39.06,39.06,93,100,7.16
dingle,PH,1620175237,10.9995,122.6711,86.85,86.85,64,81,15.64
kajiado,KE,1620175237,-1.8524,36.7768,64.4,64.4,88,75,5.75
asmara,ER,1620175238,15.3333,38.9333,58.21,58.21,62,100,2.77
san patricio,US,1620175239,28.017,-97.5169,83.62,84.2,65,40,10.36
buctzotz,MX,1620175240,21.2,-88.7833,85.98,85.98,55,0,13.53
barcelona,ES,1620175193,41.3888,2.159,56.48,59.0,94,0,4.61
noormarkku,FI,1620175241,61.5927,21.8685,37.4,37.4,70,0,8.05
yulara,AU,1620175242,-25.2406,130.9889,62.6,62.6,55,100,13.8
kampong thum,KH,1620175243,12.7111,104.8887,86.04,86.04,64,100,5.28
carlos barbosa,BR,1620175243,-29.2975,-51.5036,65.57,69.01,96,100,4.52
makurdi,NG,1620175244,7.7411,8.5121,75.25,75.25,84,100,3.0
dois vizinhos,BR,1620175245,-25.7336,-53.0572,64.92,64.92,63,6,1.7
basco,PH,1620175245,20.4487,121.9702,81.01,81.01,84,100,14.76
breves,BR,1620175246,-1.6822,-50.4803,74.37,74.37,96,100,2.57
tura,IN,1620175247,25.5198,90.2201,73.24,73.24,80,100,2.42
sao filipe,CV,1620175247,14.8961,-24.4956,71.55,71.55,74,2,10.2
mananara,MG,1620175248,-16.1667,49.7667,74.32,74.32,94,25,2.59
bulawayo,ZW,1620175249,-20.15,28.5833,50.58,50.58,68,0,5.59
russell,US,1620175249,32.3502,-85.1999,68.95,73.4,73,1,3.44
tigil,RU,1620175250,57.8,158.6667,40.68,40.68,50,5,7.81
nalut,LY,1620175251,30.3333,10.85,76.82,76.82,25,97,14.9
byron bay,AU,1620175252,-28.65,153.6167,59.14,62.6,82,99,12.66
meulaboh,ID,1620175253,4.1363,96.1285,78.21,78.21,88,100,5.82
seoul,KR,1620174972,37.5683,126.9778,57.18,59.0,71,40,14.97
borovskoy,KZ,1620175254,53.8,64.15,59.43,59.43,52,100,8.12
catuday,PH,1620175254,16.2923,119.8062,85.91,85.91,62,93,8.41
poso,ID,1620175255,-1.3959,120.7524,85.32,85.32,63,77,0.87
sibolga,ID,1620175256,1.7427,98.7792,78.17,78.17,89,100,1.83
kieta,PG,1620175257,-6.2167,155.6333,83.17,83.17,77,54,3.94
gwadar,PK,1620175257,25.1216,62.3254,80.82,80.82,67,8,7.96
geraldton,AU,1620175258,-28.7667,114.6,64.4,64.4,77,40,11.5
te anau,NZ,1620175259,-45.4167,167.7167,56.57,56.57,55,67,6.31
henties bay,NA,1620175259,-22.116,14.2845,62.01,62.01,88,95,1.01
port hueneme,US,1620175260,34.1478,-119.1951,67.87,73.4,68,1,12.66
port hardy,CA,1620175261,50.6996,-127.4199,50.41,51.8,76,75,10.36
pingliang,CN,1620175261,35.5392,106.6861,55.98,55.98,32,0,4.99
chihuahua,MX,1620175082,28.5,-106.0,80.6,80.6,13,1,6.91
brownsburg,US,1620175159,39.8434,-86.3978,54.81,57.2,82,90,11.5
poum,NC,1620174806,-20.2333,164.0167,77.16,77.16,74,16,3.62
mae chan,TH,1620175211,20.1467,99.8526,69.8,69.8,100,20,4.61
maha sarakham,TH,1620175264,16.3333,103.6667,84.52,86.0,74,0,3.44
dawson creek,CA,1620175265,55.7666,-120.2362,60.8,60.8,29,20,11.5
nurota,UZ,1620175266,40.5614,65.6886,69.8,69.8,56,100,9.22
porto tolle,IT,1620175266,44.9497,12.3245,53.02,54.0,80,74,3.0
quime,BO,1620175267,-16.9833,-67.2167,47.95,47.95,90,77,2.84
payo,ID,1620175268,-3.7508,103.6372,77.95,77.95,90,39,0.6
tucuman,AR,1620175214,-26.8241,-65.2226,50.0,50.0,93,90,6.91
yumen,CN,1620175269,40.2833,97.2,58.37,58.37,6,0,17.96
ovalle,CL,1620175076,-30.5983,-71.2003,62.31,62.31,59,0,2.08
adrar,MR,1620175270,20.5022,-10.0711,80.44,80.44,23,78,14.41
lenger,KZ,1620175271,42.183,69.8839,64.4,64.4,59,0,2.24
damghan,IR,1620175155,36.1683,54.348,58.14,58.14,74,64,1.63
