city,country,date,lat,lng,temp,max temp,humidity,cloudiness,wind_speed_mph
omsukchan,RU,1620175323,62.5333,155.8,27.61,27.61,78,97,2.42
labuhan,ID,1620175324,-6.8844,112.2051,82.63,82.63,75,93,8.61
segesd,HU,1620175324,46.3414,17.3513,51.8,51.8,71,0,6.91
corn island,NI,1620175325,12.1694,-83.0418,81.59,81.59,76,57,11.63
puerto cabezas,NI,1620175326,14.0351,-83.3888,78.73,78.73,81,17,9.31
sept-iles,CA,1620175326,50.2001,-66.3821,44.37,44.6,57,75,3.44
ust-tsilma,RU,1620175327,65.441,52.1498,30.45,30.45,80,100,9.91
rajapur,IN,1620175327,25.3833,81.15,86.9,86.9,37,61,7.14
nyurba,RU,1620175328,63.2842,118.3319,44.87,44.87,78,88,5.44
teya,RU,1620175329,60.3778,92.6267,33.6,33.6,85,12,8.08
banda aceh,ID,1620175330,5.5577,95.3222,82.72,82.72,73,100,5.93
moron,AR,1620175331,-34.6534,-58.6198,55.31,57.0,78,100,7.63
bemidji,US,1620175331,47.4736,-94.8803,48.58,48.99,37,1,9.22
kuusamo,FI,1620175332,65.9667,29.1833,26.6,26.6,59,0,4.61
puerto escondido,MX,1620175333,15.85,-97.0667,82.4,82.4,74,40,3.44
galle,LK,1620175334,6.0367,80.217,78.33,78.33,86,100,5.35
kaeo,NZ,1620175335,-35.1,173.7833,66.99,66.99,60,99,3.0
zhoukou,CN,1620175335,33.6333,114.6333,66.04,66.04,28,100,4.14
eyemouth,GB,1620175336,55.8713,-2.0901,36.0,37.0,87,86,1.01
huarmey,PE,1620175337,-10.0681,-78.1522,68.58,68.58,83,70,11.27
christchurch,NZ,1620175260,-43.5333,172.6333,66.79,68.0,56,5,6.91
ndende,GA,1620175338,-2.4008,11.3581,73.42,73.42,98,100,1.83
espanola,US,1620175339,35.9911,-106.0806,65.68,69.01,20,40,9.22
chokwe,MZ,1620175340,-24.5333,32.9833,60.13,60.13,83,0,1.68
cukai,MY,1620175340,4.25,103.4167,78.8,78.8,89,20,1.14
shache,CN,1620175341,38.4167,77.2406,62.35,62.35,21,92,4.16
uyemskiy,RU,1620175342,64.4743,40.8524,32.0,32.0,69,40,8.95
bogorodskoye,RU,1620175342,56.55,37.8833,34.9,34.9,95,100,13.24
ibra,OM,1620175343,22.6906,58.5334,74.46,74.46,78,0,2.46
hermiston,US,1620175147,45.8404,-119.2895,74.1,75.0,23,1,5.75
san vicente,AR,1620175344,-26.6167,-54.1333,66.7,66.7,61,100,1.25
santa ines,BR,1620175345,-3.6667,-45.38,73.04,73.04,95,100,3.36
caruray,PH,1620175345,10.3094,119.0128,86.0,86.0,79,20,11.5
cravo norte,CO,1620175346,6.3017,-70.2041,74.37,74.37,90,100,5.28
okhotsk,RU,1620175347,59.3833,143.3,38.62,38.62,75,100,6.35
batalha,BR,1620175348,-9.6778,-37.1247,72.14,72.14,93,6,3.47
kitami,JP,1620175349,43.8031,143.8908,51.8,51.8,62,75,13.8
vestmanna,FO,1620175349,62.1564,-7.1664,33.8,33.8,93,75,23.02
ilulissat,GL,1620175350,69.2167,-51.1,37.4,37.4,60,0,5.55
turayf,SA,1620175351,31.6725,38.6637,71.6,71.6,33,0,10.36
wasco,US,1620175351,35.5941,-119.341,90.14,91.4,16,1,13.8
dragor,DK,1620175352,55.5946,12.6664,44.58,45.0,93,90,16.11
vangaindrano,MG,1620175352,-23.35,47.6,61.75,61.75,85,0,4.45
tendo,JP,1620175353,38.3536,140.3697,59.0,59.0,67,0,1.14
cap malheureux,MU,1620175354,-19.9842,57.6142,75.99,75.99,88,21,1.99
olinda,BR,1620175345,-8.0089,-34.8553,73.4,73.4,88,75,3.44
ciudad guayana,VE,1620175355,8.3533,-62.6528,74.1,74.1,92,100,4.36
healdsburg,US,1620175116,38.6105,-122.8692,82.27,87.01,26,1,11.5
hailakandi,IN,1620175356,24.6833,92.5667,72.12,72.12,89,100,6.2
guanambi,BR,1620175356,-14.2233,-42.7814,72.9,72.9,62,1,11.99
